gene	asite	r1	r2	read	sc	peakshare	asite.perc	read.atsc	readvssc	rpm
YAL003W	444	0	1	1	0	0	0.718446601941748	28	-27	20.6594496322618
YAL003W	567	1	2	3	0	1	0.91747572815534	28	-25	57.1602324711263
YAL003W	435	0	1	1	0	0	0.703883495145631	28	-27	20.6594496322618
YAL003W	525	1	0	1	0	0	0.849514563106796	28	-27	15.8413332066027
YAL003W	381	1	0	1	0	0	0.616504854368932	28	-27	15.8413332066027
YAL003W	450	3	2	5	0	1	0.728155339805825	28	-23	88.8428988843316
YAL003W	465	0	1	1	0	0	0.752427184466019	28	-27	20.6594496322618
YAL003W	420	2	0	2	0	0	0.679611650485437	28	-26	31.6826664132053
YAL003W	411	1	1	2	0	1	0.66504854368932	28	-26	36.5007828388645
YAL003W	483	1	0	1	0	0	0.781553398058252	28	-27	15.8413332066027
YAL003W	456	2	5	7	0	1	0.737864077669903	28	-21	134.979914574514
YAL003W	486	1	1	2	0	1	0.786407766990291	28	-26	36.5007828388645
YAL003W	585	1	0	1	0	0	0.946601941747573	28	-27	15.8413332066027
YAL003W	534	0	3	3	0	0	0.864077669902913	28	-25	61.9783488967854
YAL003W	132	0	1	1	0	0	0.213592233009709	28	-27	20.6594496322618
YAL003W	597	0	1	1	0	0	0.966019417475728	28	-27	20.6594496322618
YAL003W	405	0	1	1	0	0	0.655339805825243	28	-27	20.6594496322618
YAL003W	495	1	1	2	0	1	0.800970873786408	28	-26	36.5007828388645
YAL003W	537	1	1	2	0	1	0.868932038834951	28	-26	36.5007828388645
YAL003W	414	0	1	1	0	0	0.669902912621359	28	-27	20.6594496322618
YAL003W	447	1	0	1	0	0	0.723300970873786	28	-27	15.8413332066027
YAL003W	480	2	0	2	0	0	0.776699029126214	28	-26	31.6826664132053
YAL003W	336	1	0	1	0	0	0.543689320388349	28	-27	15.8413332066027
YAL003W	579	1	1	2	0	1	0.936893203883495	28	-26	36.5007828388645
YAL003W	489	1	0	1	0	0	0.79126213592233	28	-27	15.8413332066027
YAL003W	327	18	2	20	0	1	0.529126213592233	28	-8	326.462896983372
YAL003W	510	0	1	1	0	0	0.825242718446602	28	-27	20.6594496322618
YAL003W	516	1	0	1	0	0	0.83495145631068	28	-27	15.8413332066027
YAL003W	522	1	0	1	0	0	0.844660194174757	28	-27	15.8413332066027
YAL003W	390	1	0	1	0	0	0.631067961165049	28	-27	15.8413332066027
YAL003W	471	1	0	1	0	0	0.762135922330097	28	-27	15.8413332066027
YAL003W	615	0	1	1	0	0	0.995145631067961	28	-27	20.6594496322618
YAL003W	618	12	16	28	1	1	1	28	0	520.647192595421
YAL003W	258	1	1	2	0	1	0.41747572815534	28	-26	36.5007828388645
YAL003W	372	2	0	2	0	0	0.601941747572815	28	-26	31.6826664132053
YAL003W	507	1	0	1	0	0	0.820388349514563	28	-27	15.8413332066027
YAL003W	513	0	1	1	0	0	0.830097087378641	28	-27	20.6594496322618
YAL003W	498	1	1	2	0	1	0.805825242718447	28	-26	36.5007828388645
YAL003W	501	0	1	1	0	0	0.810679611650485	28	-27	20.6594496322618
YAL003W	504	2	0	2	0	0	0.815533980582524	28	-26	31.6826664132053
YAL003W	147	3	0	3	0	0	0.237864077669903	28	-25	47.523999619808
YAL003W	594	1	0	1	0	0	0.961165048543689	28	-27	15.8413332066027
YAL003W	234	1	0	1	0	0	0.378640776699029	28	-27	15.8413332066027
YAL003W	528	1	3	4	0	1	0.854368932038835	28	-24	77.8196821033881
YAL003W	492	3	1	4	0	1	0.796116504854369	28	-24	68.1834492520698
